STCKS_ID;MTRL;MTRL_DSCR;MTRL_TYPE;MTRL_BTCH;MTRL_STCK_UNRS;MTRL_STCK_RSTR;MTRL_STCK_TRNS;MTRL_STCK_QINS;MTRL_STCK_BLCK;MTRL_STCK_RTRN;MTRL_STCK_TOT;MTRL_STCK_UNT;MTRL_VAL_UNRS;MTRL_VAL_RSTR;MTRL_VAL_TRNS;MTRL_VAL_QINS;MTRL_VAL_BLCK;MTRL_VAL_RTRN;MTRL_VAL_TOT;MTRL_VAL_UNT;STRG_LOC
1529088;70021485;Material 70021485;VERP;3121-0708;76.00;0.00;0.00;0.00;0.00;0.00;76.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529089;70021485;Material 70021485;VERP;3143-0308;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529090;70021486;Material 70021486;VERP;3118-0408;3.50;0.00;0.00;0.00;0.00;0.00;3.50;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529091;70021487;Material 70021487;VERP;3119-0408;3.70;0.00;0.00;0.00;0.00;0.00;3.70;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529092;70021488;Material 70021488;VERP;3081-0608;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529093;70021488;Material 70021488;VERP;3106-0908;0.14;0.00;0.00;0.00;0.00;0.00;0.14;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529094;70021488;Material 70021488;VERP;3121-0408;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529095;70021489;Material 70021489;VERP;3019-0908;12.00;0.00;0.00;0.00;0.00;0.00;12.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529096;70021489;Material 70021489;VERP;3073-0408;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529097;70021490;Material 70021490;VERP;3028-0308;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529098;70021491;Material 70021491;VERP;3015-0308;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529099;70021492;Material 70021492;VERP;3042-0408;480.00;0.00;0.00;0.00;0.00;0.00;480.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529100;70021492;Material 70021492;VERP;3096-0308;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529101;70021492;Material 70021492;VERP;3098-0308;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529102;70021493;Material 70021493;VERP;3031-0408;68.00;0.00;0.00;0.00;0.00;0.00;68.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529103;70021493;Material 70021493;VERP;3099-0308;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529104;70021493;Material 70021493;VERP;3121-0308;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529105;70021494;Material 70021494;VERP;3020-0908;140.00;0.00;0.00;0.00;0.00;0.00;140.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529106;70021494;Material 70021494;VERP;3063-0508;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529107;70021494;Material 70021494;VERP;3080-0608;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529108;70021494;Material 70021494;VERP;3093-0308;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529109;70021494;Material 70021494;VERP;3144-0308;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529110;70021496;Material 70021496;VERP;3030-0408;26.00;0.00;0.00;0.00;0.00;0.00;26.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529111;70021496;Material 70021496;VERP;3041-0408;160.00;0.00;0.00;0.00;0.00;0.00;160.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529112;70021496;Material 70021496;VERP;3123-0308;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529113;70021497;Material 70021497;VERP;3043-0408;1146.00;0.00;0.00;0.00;0.00;0.00;1146.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529114;70021497;Material 70021497;VERP;3100-0308;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529115;70021497;Material 70021497;VERP;3122-0308;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529116;70021498;Material 70021498;VERP;3028-0408;386.00;0.00;0.00;0.00;0.00;0.00;386.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529117;70021505;Material 70021505;VERP;3044-0908;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529118;70021505;Material 70021505;VERP;3045-0908;15.12;0.00;0.00;0.00;0.00;0.00;15.12;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529119;70021505;Material 70021505;VERP;3128-0708;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529120;70021506;Material 70021506;VERP;3116-0708;8.15;0.00;0.00;0.00;0.00;0.00;8.15;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529121;70021507;Material 70021507;VERP;3006-1108;28.09;0.00;0.00;0.00;0.00;0.00;28.09;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529122;70021507;Material 70021507;VERP;3035-0908;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529123;70021507;Material 70021507;VERP;3075-0608;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529124;70021507;Material 70021507;VERP;3105-0608;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529125;70021508;Material 70021508;VERP;3002-0808;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529126;70021508;Material 70021508;VERP;3084-0808;14.33;0.00;0.00;0.00;0.00;0.00;14.33;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529127;70021509;Material 70021509;VERP;3077-0708;5.52;0.00;0.00;0.00;0.00;0.00;5.52;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529128;70021510;Material 70021510;VERP;3015-0608;0.00;0.00;0.00;0.00;0.00;0.00;0.00;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529129;70021510;Material 70021510;VERP;3081-1008;60.95;0.00;0.00;0.00;0.00;0.00;60.95;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529130;70021510;Material 70021510;VERP;3083-0708;5.36;0.00;0.00;0.00;0.00;0.00;5.36;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529131;70021514;Material 70021514;VERP;3099-0408;0.04;0.00;0.00;0.00;0.00;0.00;0.04;TKO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529132;70021515;Material 70021515;VERP;3009-0808;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
1529133;70021515;Material 70021515;VERP;3027-0608;0.00;0.00;0.00;0.00;0.00;0.00;0.00;KOM;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;5101
